﻿Type dépense;Mission;Numéro programme;Programme;Code action (si crédit budgétaire);Action (si crédit budgétaire);Affectataire (si taxe affectée);Impôt (si dépense fiscale);Code dépense;Libellé;Atténuation climat;Adaptation climat;Eau;Déchets;Pollutions;Biodiversité;Cotation globale;% 2024 (si différent de 100);% 2025 (si différent de 100);% 2026 (si différent de 100);Catégorie générale;"Exécution 2024
(CP)";"LFI 2025
(CP)
(ou prévision 2025 si dépense fiscale)";"PLF 2026
(CP)
(ou prévision 2026 si dépense fiscale)";"Dépenses fiscales : "" ε "" montant inférieur à 0,5 M€, "" nc "" montant non calculé en prévision 2026"
Crédits budgétaires;Plan de relance;363;Compétitivité;363-03;Plan de soutien à l'export;;;363-03;Plan de soutien à l'export - part favorable 25%;2;0;2;2;2;0;Favorable;;0.25;;Plan de relance;1607440.3125;;;
Crédits budgétaires;Aide publique au développement;384;Fonds de solidarité pour le développement;384-01;Fonds de solidarité pour le développement;;;384-01;Fonds de solidarité pour le développement - part favorable;3;3;3;3;3;3;Favorable;;0.1921409214092141;;Action extérieure;141800000.0;141800000.0;135120000.0;
Crédits budgétaires;Défense;146;Équipement des forces;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Régalien;-622731598.5;;;
Crédits budgétaires;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-34261009.81;;;
Crédits budgétaires;Enseignement scolaire;230;Vie de l'élève;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Éducation;-1905374.26;;;
Crédits budgétaires;Enseignement scolaire;140;Enseignement scolaire public du premier degré;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Éducation;-40000.0;;;
Crédits budgétaires;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;522367.0;;;
Crédits budgétaires;Administration générale et territoriale de l'État;232;Vie politique;T2_CAS;T2 - contribution au CAS;;;T2_CAS;T2 - contribution au CAS;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-328278.6;-420000.0;-552600.0;
Dépenses fiscales;Cohésion des territoires;147;Politique de la ville;;;;Impôts locaux;90107;Exonération en faveur des établissements existants au 1er janvier 2006 dans les zones franches urbaines (ZFU) de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de ZFU;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;ε
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Droits d'enregistrement et de timbre;530212;Application d'un abattement de 300 000 € sur la valeur du fonds ou de la clientèle en cas de cession en pleine propriété de fonds artisanaux, de fonds de commerce, de fonds agricoles ou de clientèles d'une entreprise individuelle ou de parts ou actions d'une société;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Droits d'enregistrement et de timbre;520209;Abattement de 300 000 € sur la valeur du fonds ou de la clientèle d’une entreprise individuelle ou de parts ou actions de société pour la liquidation des droits de mutation à titre gratuit en cas de donations aux salariés;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu et impôt sur les sociétés;230102;Déduction exceptionnelle en faveur de l’investissement des PME dans la robotique et la digitalisation industrielles;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;4000000.0;4000000.0;;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Impôt sur le revenu;130209;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale (sous conditions de loyer et de ressources du locataire à compter du 1er janvier 1999) pour les investissements réalisés jusqu'au 3 avril 2003 : Dispositif BESSON neuf;-1;0;0;0;0;-1;Défavorable;;;;Bâtiments;1000000.0;1000000.0;1000000.0;
Dépenses fiscales;Engagements financiers de l'État;145;Épargne;;;;Impôt sur le revenu;140106;Exonération des intérêts des livrets jeune;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;11000000.0;12000000.0;11000000.0;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Droits d'enregistrement et de timbre;530207;Application du droit d’enregistrement de 3 % (0,1 % à compter du 1er août 2012) pour les actes et conventions conclues à compter du 6 août 2008 sur les cessions d’actions de sociétés d’économie mixte exerçant une activité de construction ou de gestion de logements sociaux, d’organismes d’HLM ou de certaines sociétés foncières;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;6000000.0;6000000.0;6000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Accise sur les énergies;800212;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;1;0;0;0;0;-1;Mixte;;;;Transports;176000000.0;194000000.0;213000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;;;Autres droits;930101;Exonération pour les véhicules utilisés pour certains services publiques et missions d'intérêt général (la défense nationale, la protection civile, la lutte contre les incendies, les secours, le maintien de l’ordre et l’entretien des voies de circulation);-1;0;0;0;-1;0;Défavorable;;;;Transports;;;;nc
Dépenses fiscales;Gestion des finances publiques;302;Facilitation et sécurisation des échanges;;;;Taxe sur la valeur ajoutée;710109;Exclusion de la base d'imposition des marges commerciales sur la distribution de tabac en Guadeloupe, en Martinique et à La Réunion;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;16000000.0;16000000.0;18000000.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;103-05;Actions pour favoriser la mise en activité professionnelles des demandeurs d'emploi;;;103-05-01;Actions pour lever les freins périphériques à l'emploi;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;38859648.04;;;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;103-05;Actions pour favoriser la mise en activité professionnelles des demandeurs d'emploi;;;103-05-03;Exonérations visant à favoriser le recrutement de demandeurs d'emplois de zones géographiques en difficulté;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;88852210.8;88802252.0;77166007.0;
Crédits budgétaires;Justice;107;Administration pénitentiaire;107-02;Accueil et accompagnement des personnes placées sous main de justice;;;107-02;Accueil et accompagnement des personnes placées sous main de justice;0;0;0;0;0;0;Neutre;;;;Régalien;1136694365.2399998;1169396608.0;1205516471.0;
Crédits budgétaires;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires et sociales;124-14;Communication;;;124-14;Communication;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;12544310.93;;;
Crédits budgétaires;Économie;134;Développement des entreprises et régulations;134-15;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);;;134-15;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);0;0;0;0;0;0;Neutre;;;;Neutre - autres;25315995.359999996;25299065.0;27867371.0;
Crédits budgétaires;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;135-01;Construction locative et amélioration du parc;;;135-01;Construction locative et amélioration du parc;0;0;0;0;0;0;Neutre;;;;Neutre - autres;280596750.36;37188760.0;8250000.0;
Crédits budgétaires;Enseignement scolaire;139;Enseignement privé du premier et du second degrés;139-05;Enseignement professionnel sous statut scolaire;;;139-05;Enseignement professionnel sous statut scolaire;0;0;0;0;0;0;Neutre;;;;Éducation;846123782.1999999;977169376.0;983347536.0;
Crédits budgétaires;Enseignement scolaire;139;Enseignement privé du premier et du second degrés;139-12;Soutien;;;139-12;Soutien;0;0;0;0;0;0;Neutre;;;;Éducation;154444942.46;245532116.0;244462947.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-07;Commandement et maîtrise de l'information;;;146-07-46;Espace - Commander et conduire - OMEGA;0;0;0;0;0;0;Neutre;;;;Régalien;27752875.68;86410692.0;164627200.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-08;Projection - mobilité - soutien;;;146-08-56;Maintenir le potentiel ami et autre - Flotte logistique;0;0;0;0;0;0;Neutre;;;;Régalien;149472028.0;90156505.0;396776606.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-09;Engagement et combat;;;146-09-78;Frapper à distance - Mirage 2000;0;0;0;0;0;0;Neutre;;;;Régalien;73320756.11;120365014.0;67691475.0;
Crédits budgétaires;Cohésion des territoires;147;Politique de la ville;147-03;Stratégie, ressources et évaluation;;;147-03;Stratégie, ressources et évaluation;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;2941377.03;19143320.0;19143320.0;
Crédits budgétaires;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;149-24;Gestion équilibrée et durable des territoires;;;149-24-07;Indemnités compensatoires de handicaps naturels;-1;2;1;0;0;2;Mixte;;;;Agriculture;378109803.0;384500000.0;384074804.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;155;Soutien des ministères sociaux;155-24;Personnels transversaux et de soutien;;;155-24;Personnels transversaux et de soutien;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;;161216423.0;160058961.0;
Crédits budgétaires;Gestion des finances publiques;156;Gestion fiscale et financière de l'État et du secteur public local;156-05;Gestion financière de l'État hors fiscalité;;;156-05;Gestion financière de l'État hors fiscalité;0;0;0;0;0;0;Neutre;;;;Neutre - autres;934137734.41;910650399.0;947919973.0;
Crédits budgétaires;Conseil et contrôle de l'État;164;Haut Conseil des finances publiques;164-23;Contrôle des gestions publiques;;;164-23;Contrôle des gestions publiques;0;0;0;0;0;0;Neutre;;;;Neutre - autres;70943972.09;74333068.0;77035403.0;
Crédits budgétaires;Conseil et contrôle de l'État;164;Haut Conseil des finances publiques;164-24;Evaluation des politiques publiques;;;164-24;Evaluation des politiques publiques;0;0;0;0;0;0;Neutre;;;;Neutre - autres;40352749.91;42468141.0;43300796.0;
Crédits budgétaires;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;174-06;Soutien;;;174-06;Soutien;2;2;2;2;2;2;Favorable;;;;Énergie;22878886.94;6200002.0;5900000.0;
Crédits budgétaires;Culture;175;Patrimoines;175-01;Monuments Historiques et patrimoine monumental;;;175-01;Monuments Historiques et patrimoine monumental;0;0;0;0;0;0;Neutre;;;;Neutre - autres;585348238.6600001;551794768.0;437068491.0;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-01;Planification  des moyens et conduite des opérations;;;178-01-10;Emploi des forces;0;0;0;0;0;0;Neutre;;;;Régalien;900169377.72;874970890.0;718911590.0;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-01;Planification  des moyens et conduite des opérations;;;178-01-21;Infrastructures SIC;0;0;0;0;0;0;Neutre;;;;Régalien;28651016.14;27449861.0;;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-02;Préparation des forces terrestres;;;178-02-01;Commandement et activités des forces terrestres;;;;;;;NC;;;;Non coté - autres;355455280.85;240554036.0;252067725.0;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-02;Préparation des forces terrestres;;;178-02-05;Ressources humaines des forces terrestres;0;0;0;0;0;0;Neutre;;;;Régalien;149191243.0;138333669.0;152586583.0;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-08;Numérique de défense;;;178-08-01;Numérique de défense - socle;;;;;;;NC;;;;Non coté - autres;;;824736854.0;
Crédits budgétaires;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;185-05;Agence pour l'enseignement français à l'étranger;;;185-05;Agence pour l'enseignement français à l'étranger;0;0;0;0;0;0;Neutre;;;;Régalien;445549840.0;423637965.0;;
Crédits budgétaires;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;198-03;Régime de retraite du personnel de la SNCF;;;198-03;Régime de retraite du personnel de la SNCF;0;0;0;0;0;0;Neutre;;;;Pensions;3316564362.0;3229388925.0;3225801919.0;
Crédits budgétaires;Sécurités;207;Sécurité et éducation routières;207-01;Observation, prospective, réglementation et soutien au programme;;;207-01;Observation, prospective, réglementation et soutien au programme;0;0;0;0;0;0;Neutre;;;;Régalien;5382637.1899999995;7893342.0;7893342.0;
Crédits budgétaires;Gestion des finances publiques;218;Conduite et pilotage des politiques économiques et financières;218-07;Pilotage des finances publiques et projets interministériels;;;218-07;Pilotage des finances publiques et projets interministériels;0;0;0;0;0;0;Neutre;;;;Neutre - autres;181114251.18;175988137.0;189848259.0;
Crédits budgétaires;Direction de l'action du Gouvernement;308;Protection des droits et libertés;308-06;Autres autorités indépendantes;;;308-06-01;Commission d'accès aux documents administratifs;0;0;0;0;0;0;Neutre;;;;Neutre - autres;1687698.54;2037292.0;2194826.0;
Crédits budgétaires;Direction de l'action du Gouvernement;308;Protection des droits et libertés;308-06;Autres autorités indépendantes;;;308-06-02;Comité consultatif national d'éthique;0;0;0;0;0;0;Neutre;;;;Neutre - autres;1122055.1600000001;1500486.0;2082253.0;
Crédits budgétaires;Administration générale et territoriale de l'État;354;Administration territoriale de l'État;354-03;Contrôle de légalité et conseil aux collectivités territoriales;;;354-03;Contrôle de légalité et conseil aux collectivités territoriales;0;0;0;0;0;0;Neutre;;;;Régalien;139872309.76000002;146187527.0;150154832.0;
Crédits budgétaires;Publications officielles et information administrative;623;Édition et diffusion;623-02;Information administrative et vie publique;;;623-02;Information administrative et vie publique;0;0;0;0;0;0;Neutre;;;;Régalien;12131294.79;12370388.0;15655693.0;
Crédits budgétaires;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-11724364.15;;;
Crédits budgétaires;Culture;131;Création;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-113363.36;;;
Crédits budgétaires;Immigration, asile et intégration;104;Intégration et accès à la nationalité française;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Régalien;8836054.82;;;
Crédits budgétaires;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Régalien;27386194.0;;;
Crédits budgétaires;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-4215981.0;;;
Crédits budgétaires;Enseignement scolaire;143;;;;;;MP/MT - PLF 2026;MP/MT - Mesure de périmètre/transfert - PLF 2026;0;0;0;0;0;0;Neutre;;;;Neutre - autres;272410.0;272410.0;;
Crédits budgétaires;Justice;335;Conseil supérieur de la magistrature;T2_CAS;T2 - contribution au CAS;;;T2_CAS;T2 - contribution au CAS;0;0;0;0;0;0;Neutre;;;;Régalien;-542849.75;-700000.0;-751194.0;
Taxes affectées plafonnées;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;;Société des Grands Projets (SGP);;AFF14-TA267;Taxe additionnelle régionale de 15% à la taxe de séjour IDF - affectée à la Société des Grands Projets (SGP);2;0;0;-1;2;0;Mixte;;;;Transports;15000000.0;20000000.0;21294000.0;
Dépenses fiscales;Outre-mer;123;Conditions de vie outre-mer;;;;Impôt sur les sociétés;320146;Réduction d’impôt sur les sociétés à raison des investissements productifs neufs et des investissements dans le secteur du logement intermédiaire et social réalisés dans les collectivités d’outre-mer et en Nouvelle-Calédonie - part artificialisante 20%;-1;0;0;0;0;-1;Défavorable;0.2;0.2;0.2;Bâtiments;6200000.0;6200000.0;6200000.0;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Taxe sur la valeur ajoutée;730210;Taux de 10 % dans le secteur du logement locatif social pour les opérations qui ne sont pas éligibles au taux réduit de 5,5 % - part artificialisante 20%;-1;0;0;0;0;-1;Défavorable;0.2;0.2;0.2;Bâtiments;112000000.0;112000000.0;124000000.0;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Impôt sur le revenu;110236;Crédit d'impôt pour dépenses d'équipements de l'habitation principale en faveur de l'aide aux personnes;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;52000000.0;15000000.0;16000000.0;
Dépenses fiscales;Outre-mer;123;Conditions de vie outre-mer;;;;Impôt sur le revenu;110302;"Réduction, dans la limite d’un certain montant, pour les contribuables des départements d’outre-mer de la cotisation résultant du barème (30 % en Guadeloupe, Martinique et Réunion ; 40 % en Guyane et à Mayotte) et de la retenue à la source sur les traitements, salaires, pensions et rentes viagères, servis à des personnes domiciliées fiscalement hors de France lorsque ces revenus proviennent de ces départements (8 % et 14,4 % au lieu de 12 % et 20 %)";0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;426000000.0;426000000.0;426000000.0;
Dépenses fiscales;Outre-mer;123;Conditions de vie outre-mer;;;;Impôt sur le revenu;110260;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;3000000.0;5000000.0;5000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Accise sur les énergies;820203;Tarif réduit pour l’électricité consommée par les installations industrielles situées au sein de sites industriels électro-intensifs ou d'entreprises industrielles électro-intensives;;;;;;;NC;;;;Dépenses fiscales;428000000.0;749000000.0;613000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu et impôt sur les sociétés;230104;Déduction exceptionnelle en faveur des simulateurs d'apprentissage de la conduite;1;0;0;0;1;0;Favorable;;;;Transports;;;;ε
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu;150518;Abattement majoré appliqué aux plus-values sur cessions de titres acquis moins de dix ans après la création d'une PME;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;196000000.0;152000000.0;152000000.0;
Dépenses fiscales;Cohésion des territoires;147;Politique de la ville;;;;Impôt sur le revenu;110266;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital d'une société foncière solidaire;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;8000000.0;9000000.0;10000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôt sur le revenu et impôt sur les sociétés;210330;Crédit d’impôt en faveur des entreprises agricoles disposant d’une certification d’exploitation à haute valeur environnementale en cours de validité au 31 décembre 2021 ou délivrée au cours de l’une des années 2022,2023 ou 2024;1;0;1;0;1;1;Favorable;;;;Agriculture;18000000.0;13000000.0;13000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôt sur le revenu;110262;Crédit d'impôt au titre d’investissements et travaux forestiers et cotisations d'assurance de bois et forêts;2;2;2;0;2;2;Favorable;;;;Ressources naturelles;20000000.0;22000000.0;22000000.0;
Dépenses fiscales;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;;;;Impôt sur le revenu;160207;Exonération des sommes perçues à titre de dédommagement par les aidants familiaux dans le cadre de la prestation de compensation handicap;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;72000000.0;72000000.0;72000000.0;
Dépenses fiscales;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;;;;Impôt sur le revenu;120206;Exonération de la prestation de compensation servie aux personnes handicapées en application de l'article L. 245-1 du code de l'action sociale et des familles;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;80000000.0;90000000.0;100000000.0;
Dépenses fiscales;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;;;;Impôt sur le revenu;120205;Exonération de l'allocation personnalisée d'autonomie (APA);0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;137000000.0;137000000.0;137000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Impôt sur les sociétés;300106;Exonération des sociétés immobilières pour le commerce et l'industrie et des sociétés agréées pour le financement des télécommunications;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;ε
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Impôt sur le revenu;180105;Exonération des produits de la vente d'électricité issue de l'énergie radiative du soleil;3;1;2;2;2;0;Favorable;;;;Énergie;5000000.0;6000000.0;6000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Impôt sur le revenu;110268;Crédit d’impôt destiné à l’acquisition et à la pose de systèmes de charge pour véhicule électrique;3;1;0;0;2;0;Favorable;;;;Transports;13000000.0;23000000.0;23000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu et impôt sur les sociétés;220108;Exonération de l’aide aux entreprises particulièrement touchées par les conséquences économiques résultant de la situation hydrique de Mayotte;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Autres droits;940204;Abattement de malus masse au profit des véhicules hybrides non rechargeables et des véhicules hybrides rechargeables moins performants;1;0;0;-1;1;0;Mixte;;;;Transports;107000000.0;136000000.0;136000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu;120510;Imposition au taux forfaitaire de 12,8 % des gains nets de cession acquis en contrepartie de l’exercice de leurs fonctions par des salariés ou des dirigeants, après application le cas échéant des abattements prévus aux articles 150-0 D et 150-0 D ter du CGI, dans la limite d'un montant déterminé par application au prix payé pour la souscription ou l'acquisition des titres cédés d'un multiple de la performance financière de la société émettrice des titres, pour les cessions réalisées à compter du 15 février 2025;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;102;Accès et retour à l'emploi;102-02;Structures de mise en oeuvre de la politique de l'emploi;;;102-02-02;Financement des organismes supports de la politique de l'emploi;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;104203793.51;80915156.0;52609758.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;102;Accès et retour à l'emploi;102-04;Insertion des jeunes sur le marché du travail- Contrat d'engagement jeunes (CEJ);;;102-04-01;Dispositifs mis en œuvre pour l'emploi des jeunes par le service public de l'emploi;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;859107215.3000001;854194632.0;809058448.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;103-03;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;;;103-03-05;Formation des salariés;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;125025384.84;109122202.0;23662227.0;
Crédits budgétaires;Justice;107;Administration pénitentiaire;107-01;Garde et contrôle des personnes placées sous main de justice;;;107-01;Garde et contrôle des personnes placées sous main de justice;0;0;0;0;0;0;Neutre;;;;Régalien;3361258187.4099994;3719971404.0;3899182596.0;
Crédits budgétaires;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;119-09;Dotation de soutien à l'investissement local exceptionnelle;;;119-09;Dotation de soutien à l'investissement local exceptionnelle;2;2;2;2;2;2;Favorable;;;;Collectivités;104854484.44;114417674.0;94975666.0;
